id_subsistema;nom_subsistema;din_instante;val_gerhidraulica;val_gertermica;val_gereolica;val_gersolar;val_carga;val_intercambio
SE;SUDESTE/CENTRO-OESTE;2021-01-01 12:00:00;23352.78700000;6221.53400000;0E-8;663.65800000;31207.96600000;-969.98700000
S;SUL;2021-01-01 12:00:00;1230.97899999;1152.32200000;700.54200000;0E-8;7792.83800000;-4708.99500000
NE;NORDESTE;2021-01-01 13:00:00;4909.25900000;2366.35399999;4180.07300000;1086.26600000;8767.51600000;3774.43600000
N;NORTE;2021-01-01 13:00:00;4236.23299999;2558.53899999;240.33100000;0E-8;4840.73599999;2194.36699999
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-01 13:00:00;32836.94800000;12325.09100000;5123.93500000;1759.15700000;52045.13000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2021-01-01 13:00:00;22454.29799999;6245.41300000;0E-8;672.89100000;30782.20999999;-1409.60800000
S;SUL;2021-01-01 13:00:00;1237.15799999;1154.78499999;703.53100000;0E-8;7654.66900000;-4559.19500000
NE;NORDESTE;2021-01-01 14:00:00;4902.73700000;2356.24800000;4685.85200000;1054.71600000;8979.20300000;4020.35000000
N;NORTE;2021-01-01 14:00:00;4232.96000000;2569.49400000;205.12200000;0E-8;4937.59100000;2069.98499999
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-01 14:00:00;32530.95400000;12331.06500000;5646.59500000;1679.87200000;52188.49000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2021-01-01 14:00:00;22068.12899999;6236.05699999;0E-8;625.15599999;30618.69999999;-1689.35799999
S;SUL;2021-01-01 14:00:00;1327.12800000;1169.26600000;755.62100000;0E-8;7652.99200000;-4400.97700000
NE;NORDESTE;2021-01-01 15:00:00;4932.07900000;2375.71600000;5176.68700000;930.34900000;9159.02500000;4255.80600000
N;NORTE;2021-01-01 15:00:00;4242.18399999;2569.33700000;157.67599999;0E-8;5014.76000000;1954.43699999
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-01 15:00:00;32836.33600000;12369.23700000;6139.38000000;1444.40900000;52789.36000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2021-01-01 15:00:00;22331.81000000;6251.90300000;0E-8;514.05999999;30815.25300000;-1717.47999999
S;SUL;2021-01-01 15:00:00;1330.26299999;1172.28100000;805.01700000;0E-8;7800.32400000;-4492.76300000
NE;NORDESTE;2021-01-01 16:00:00;4908.57200000;2384.02300000;5776.70300000;757.65200000;9325.59900000;4501.35099999
